rating,genre,release_year,title_count,movies,tv_shows
66 min,Movies,2015,1,1,0
74 min,Movies,2017,1,1,0
84 min,Movies,2010,1,1,0
G,Action & Adventure,1956,1,1,0
G,Children & Family Movies,1968,1,1,0
G,Children & Family Movies,1971,1,1,0
G,Children & Family Movies,1973,1,1,0
G,Children & Family Movies,1977,1,1,0
G,Children & Family Movies,1986,1,1,0
G,Children & Family Movies,1989,1,1,0
G,Children & Family Movies,1991,1,1,0
G,Children & Family Movies,1995,1,1,0
G,Children & Family Movies,1998,1,1,0
G,Children & Family Movies,1999,2,2,0
G,Children & Family Movies,2000,2,2,0
G,Children & Family Movies,2001,2,2,0
G,Children & Family Movies,2004,3,3,0
G,Children & Family Movies,2005,2,2,0
G,Children & Family Movies,2009,3,3,0
G,Children & Family Movies,2014,2,2,0
G,Children & Family Movies,2016,3,3,0
G,Children & Family Movies,2017,1,1,0
G,Children & Family Movies,2018,2,2,0
G,Children & Family Movies,2019,1,1,0
G,Children & Family Movies,2020,1,1,0
G,Classic Movies,1956,1,1,0
G,Classic Movies,1958,1,1,0
G,Classic Movies,1964,1,1,0
G,Classic Movies,1968,1,1,0
G,Classic Movies,1969,1,1,0
G,Classic Movies,1971,2,2,0
G,Classic Movies,1973,1,1,0
G,Comedies,1958,1,1,0
G,Comedies,1968,1,1,0
G,Comedies,1971,1,1,0
G,Comedies,1998,1,1,0
G,Comedies,2000,1,1,0
G,Comedies,2001,1,1,0
G,Comedies,2005,1,1,0
G,Comedies,2009,1,1,0
G,Comedies,2016,1,1,0
G,Comedies,2018,1,1,0
G,Comedies,2019,1,1,0
G,Documentaries,2007,1,1,0
G,Documentaries,2009,1,1,0
G,Documentaries,2011,1,1,0
G,Documentaries,2016,1,1,0
G,Documentaries,2017,1,1,0
G,Dramas,1969,1,1,0
G,Dramas,1971,1,1,0
G,Dramas,1995,1,1,0
G,Dramas,2009,1,1,0
G,Dramas,2018,1,1,0
G,Dramas,2020,1,1,0
G,International Movies,2009,1,1,0
G,Music & Musicals,1958,1,1,0
G,Music & Musicals,1964,1,1,0
G,Music & Musicals,1971,1,1,0
G,Music & Musicals,2011,1,1,0
G,Music & Musicals,2016,1,1,0
G,Music & Musicals,2018,1,1,0
G,Sci-Fi & Fantasy,1956,1,1,0
G,Sci-Fi & Fantasy,2001,1,1,0
NC-17,Comedies,2014,1,1,0
NC-17,Comedies,2018,1,1,0
NC-17,Dramas,2013,1,1,0
NC-17,Independent Movies,2013,1,1,0
NC-17,Independent Movies,2018,1,1,0
NC-17,International Movies,2013,1,1,0
NC-17,International Movies,2014,1,1,0
NR,Action & Adventure,1973,1,1,0
NR,Action & Adventure,2010,1,1,0
NR,Action & Adventure,2015,2,2,0
NR,Action & Adventure,2016,4,4,0
NR,Action & Adventure,2017,1,1,0
NR,British TV Shows,2004,1,0,1
NR,British TV Shows,2013,1,0,1
NR,Classic Movies,1958,1,1,0
NR,Classic Movies,1981,1,1,0
NR,Classic Movies,1991,1,1,0
NR,Comedies,1985,1,1,0
NR,Comedies,1991,1,1,0
NR,Comedies,2004,1,1,0
NR,Comedies,2007,1,1,0
NR,Comedies,2012,1,1,0
NR,Comedies,2014,1,1,0
NR,Comedies,2015,3,3,0
NR,Comedies,2016,4,4,0
NR,Comedies,2018,1,1,0
NR,Crime TV Shows,2013,1,0,1
NR,Cult Movies,1985,1,1,0
NR,Cult Movies,1987,1,1,0
NR,Cult Movies,2007,1,1,0
NR,Documentaries,2007,1,1,0
NR,Documentaries,2011,1,1,0
NR,Documentaries,2012,2,2,0
NR,Documentaries,2013,1,1,0
NR,Documentaries,2014,3,3,0
NR,Documentaries,2015,7,7,0
NR,Documentaries,2016,7,7,0
NR,Docuseries,2013,1,0,1
NR,Dramas,1958,1,1,0
NR,Dramas,1981,1,1,0
NR,Dramas,1991,1,1,0
NR,Dramas,2004,1,1,0
