creator_type,creator_name,title_count,movies,tv_shows
Actor,Anupam Kher,43,42,1
Actor,Shah Rukh Khan,35,35,0
Actor,Julie Tejwani,33,28,5
Actor,Takahiro Sakurai,32,7,25
Actor,Naseeruddin Shah,32,32,0
Actor,Rupa Bhimani,31,27,4
Actor,Om Puri,30,30,0
Actor,Akshay Kumar,30,30,0
Actor,Yuki Kaji,29,10,19
Actor,Amitabh Bachchan,28,28,0
Actor,Paresh Rawal,28,28,0
Actor,Boman Irani,27,27,0
Actor,Rajesh Kava,26,21,5
Actor,Vincent Tong,26,13,13
Actor,Kareena Kapoor,25,25,0
Actor,Andrea Libman,25,17,8
Actor,John Cleese,24,19,5
Actor,Samuel L. Jackson,24,22,2
Actor,Fred Tatasciore,23,17,6
Actor,Tara Strong,23,15,8
Actor,Jigna Bhardwaj,23,19,4
Actor,Daisuke Ono,22,5,17
Actor,Junichi Suwabe,21,4,17
Actor,Nicolas Cage,21,20,1
Actor,Nawazuddin Siddiqui,21,20,1
Actor,Kay Kay Menon,21,20,1
Actor,Ashleigh Ball,21,10,11
Actor,Ajay Devgn,21,21,0
Actor,David Attenborough,20,6,14
Actor,Salman Khan,20,20,0
Actor,Adam Sandler,20,20,0
Actor,Fred Armisen,19,15,4
Actor,Mamoru Miyano,19,6,13
Actor,Gulshan Grover,19,19,0
Actor,Ai Kayano,19,2,17
Actor,Yuichi Nakamura,19,3,16
Actor,Erin Fitzgerald,19,14,5
Actor,James Franco,19,19,0
Actor,Morgan Freeman,19,16,3
Actor,Seth Rogen,19,15,4
Actor,David Spade,19,17,2
Actor,Rajesh Sharma,18,16,2
Actor,Debi Derryberry,18,13,5
Actor,Laura Bailey,18,14,4
Actor,Yashpal Sharma,18,18,0
Actor,Vatsal Dubey,18,16,2
Actor,Fortune Feimster,18,13,5
Actor,Anil Kapoor,18,18,0
Actor,Diana Kaarina,18,12,6
Actor,Kana Hanazawa,18,5,13
Actor,Michela Luci,17,8,9
Actor,Jackie Shroff,17,17,0
Actor,Danny Trejo,17,16,1
Actor,Rajpal Yadav,17,17,0
Actor,Alessandro Juliani,17,10,7
Actor,Asrani,17,17,0
Actor,Bruce Willis,17,17,0
Actor,Kate Higgins,17,13,4
Actor,Saif Ali Khan,17,16,1
Actor,Molly Shannon,17,15,2
Actor,Priyanka Chopra,17,16,1
Actor,Brian Drummond,17,8,9
Actor,Tinnu Anand,16,16,0
Actor,Mike Epps,16,15,1
Actor,Hassan Hosny,16,16,0
Actor,Michael Palin,16,11,5
Actor,Manoj Joshi,16,16,0
Actor,Yoshimasa Hosoya,16,1,15
Actor,Tomokazu Sugita,16,4,12
Actor,Sanjay Mishra,16,16,0
Actor,Manoj Bajpayee,16,15,1
Actor,Amrish Puri,16,16,0
Actor,Kristen Stewart,16,16,0
Actor,Jun Fukuyama,16,1,15
Actor,Alfred Molina,16,15,1
Actor,Vijay Raaz,16,16,0
Actor,Miyuki Sawashiro,16,5,11
Actor,Hiroshi Kamiya,16,3,13
Actor,Laurence Fishburne,16,14,2
Actor,Robb Wells,16,11,5
Actor,Aamir Khan,16,16,0
Actor,Blossom Chukwujekwu,16,15,1
Actor,Maya Rudolph,16,15,1
Actor,Kari Wahlgren,16,7,9
Actor,Sam Vincent,16,7,9
Actor,Pankaj Tripathi,15,14,1
Actor,Ben Kingsley,15,14,1
Actor,Adil Hussain,15,14,1
Actor,Chris Rock,15,13,2
Actor,Keith David,15,10,5
Actor,Toyin Abraham,15,15,0
Actor,Sean Astin,15,9,6
Actor,Grey Griffin,15,5,10
Actor,Antonio Banderas,15,12,3
Actor,Richard Mofe-Damijo,15,13,2
Actor,Michael Peña,15,14,1
Actor,Kathleen Barr,15,7,8
Actor,Takehito Koyasu,15,2,13
Actor,Sanjay Dutt,15,15,0
Actor,Erin Mathews,15,10,5
Actor,Willem Dafoe,15,15,0
Actor,Sonal Kaushal,15,11,4
Actor,Eric Idle,15,10,5
Actor,John Paul Tremblay,15,10,5
Actor,Radhika Apte,15,13,2
Actor,Irrfan Khan,14,13,1
Actor,Kulbhushan Kharbanda,14,14,0
Actor,Pavan Malhotra,14,14,0
Actor,Rajkummar Rao,14,14,0
Actor,Johnny Depp,14,14,0
Actor,John Travolta,14,13,1
Actor,Sharat Saxena,14,14,0
Actor,Yoshitsugu Matsuoka,14,1,13
Actor,Shakti Kapoor,14,14,0
Actor,Helen Mirren,14,13,1
Actor,Bimbo Manuel,14,11,3
Actor,Dee Bradley Baker,14,8,6
Actor,Rosario Dawson,14,10,4
Actor,Swapnil,14,13,1
Actor,Ramsey Nouah,14,14,0
Actor,Ian James Corlett,14,10,4
Actor,Pierce Brosnan,14,14,0
Actor,Terry Jones,14,9,5
Actor,Kazuhiko Inoue,14,7,7
Actor,Mousam,14,13,1
Actor,Tabitha St. Germain,14,9,5
Actor,Guy Pearce,14,13,1
